,instruction,subtasks,task_type
0,put the plant near the furnace.,"was_item_placed_near_another(game_data, ""plant"", ""furnace"")",relatively_action_sequence
1,place the shrub next to the stove.,"was_item_placed_near_another(game_data, ""plant"", ""furnace"")",relatively_action_sequence
2,position the greenery close to the heater.,"was_item_placed_near_another(game_data, ""plant"", ""furnace"")",relatively_action_sequence
3,arrange the bush adjacent to the oven.,"was_item_placed_near_another(game_data, ""plant"", ""furnace"")",relatively_action_sequence
4,place the stone close to the torch.,"was_item_placed_near_another(game_data, ""stone"", ""torch"")",relatively_action_sequence
5,put the rock next to the lamp.,"was_item_placed_near_another(game_data, ""stone"", ""torch"")",relatively_action_sequence
6,position the boulder near the light.,"was_item_placed_near_another(game_data, ""stone"", ""torch"")",relatively_action_sequence
7,set the pebble beside the lantern.,"was_item_placed_near_another(game_data, ""stone"", ""torch"")",relatively_action_sequence
8,arrange the mineral adjacent to the beacon.,"was_item_placed_near_another(game_data, ""stone"", ""torch"")",relatively_action_sequence
9,locate the cobblestone near the flashlight.,"was_item_placed_near_another(game_data, ""stone"", ""torch"")",relatively_action_sequence
10,put the table beside the plant.,"was_item_placed_near_another(game_data, ""table"", ""plant"")",relatively_action_sequence
11,place the desk next to the shrub.,"was_item_placed_near_another(game_data, ""table"", ""plant"")",relatively_action_sequence
12,position the counter near the greenery.,"was_item_placed_near_another(game_data, ""table"", ""plant"")",relatively_action_sequence
13,set the bench beside the flower.,"was_item_placed_near_another(game_data, ""table"", ""plant"")",relatively_action_sequence
14,locate the dining table near the vegetation.,"was_item_placed_near_another(game_data, ""table"", ""plant"")",relatively_action_sequence
15,arrange the furnace near the stone.,"was_item_placed_near_another(game_data, ""furnace"", ""stone"")",relatively_action_sequence
16,place the stove next to the rock.,"was_item_placed_near_another(game_data, ""furnace"", ""stone"")",relatively_action_sequence
17,set the heater beside the boulder.,"was_item_placed_near_another(game_data, ""furnace"", ""stone"")",relatively_action_sequence
18,position the kiln near the pebble.,"was_item_placed_near_another(game_data, ""furnace"", ""stone"")",relatively_action_sequence
19,put the oven close to the mineral.,"was_item_placed_near_another(game_data, ""furnace"", ""stone"")",relatively_action_sequence
20,locate the fireplace adjacent to the cobblestone.,"was_item_placed_near_another(game_data, ""furnace"", ""stone"")",relatively_action_sequence
21,get the pickaxe after you have gathered the timber.,"was_item_collected_after_another(gt, ""wood"", ""pickaxe"")",relatively_action_sequence
22,retrieve the pickaxe once you have collected the lumber.,"was_item_collected_after_another(gt, ""wood"", ""pickaxe"")",relatively_action_sequence
23,collect the pickaxe following the collection of wooden logs.,"was_item_collected_after_another(gt, ""wood"", ""pickaxe"")",relatively_action_sequence
24,acquire the pickaxe after securing the wooden material.,"was_item_collected_after_another(gt, ""wood"", ""pickaxe"")",relatively_action_sequence
25,gather the iron after you have obtained the coal.,"was_item_collected_after_another(gt, ""coal"", ""iron"")",relatively_action_sequence
26,collect the iron once you have retrieved the coal.,"was_item_collected_after_another(gt, ""coal"", ""iron"")",relatively_action_sequence
27,get the iron after you have gathered the charcoal.,"was_item_collected_after_another(gt, ""coal"", ""iron"")",relatively_action_sequence
